Position,Move,Depth,Score
r2k2rb/ppp1qp1p/2nnb1p1/4p3/4P3/2NN2PB/PPPP1B1P/2KR1QR1 b kq - 6 10,b7b6,19,+28
1rk1br2/p1qp1ppp/4pb2/1P6/1P6/P2QPNN1/3KB1PP/5R2 b kq - 2 20,c8d8,19,-41
4rrk1/p1p3qp/1nNp2p1/5nQ1/3P4/1N4P1/P4P1P/1R3R1K w - - 2 18,h1g1,19,-91
1bbnrnkr/pq2pppp/2p5/1p6/3PPP2/1P6/6PP/QBBNRNKR w KQkq - 1 7,h2h4,19,+29
rn1bk3/pppppb2/3n1p2/8/4PP1q/3P4/PPP2Q1P/RNN1K1BR b KQq - 2 11,h4h6,13,+390
bbrn1knr/pp4pp/5p2/2q1p3/4P3/5N2/P1P1QPPP/BBRN1K1R w KQkq - 0 8,c2c4,19,+50
b1kr2r1/Qp5p/2p3p1/3q4/4pP2/1P4P1/P3N1BP/2R2nK1 w - - 0 20,g2f1,16,+171
bb1rr1k1/p1q2pp1/1p1P2n1/4PN1p/3p3P/1P2N1Q1/P5P1/1B1R1RK1 b - - 0 20,c7c5,13,+375
8/p5Rp/Npk3n1/3r4/2pP4/P1P3P1/1P5P/K7 b - - 2 33,d5h5,1,+2939
rkrnb1qb/pp5p/2p1n1p1/3p1p2/3PpP2/1NN1P1P1/PPP4P/RKR1B1QB b KQkq - 0 8,a7a5,16,-139
q1rbknbr/pp1n2pp/2p2p2/3pp3/3P4/2P1PPN1/PP4PP/QNRBK1BR w KQkq - 1 6,g3f5,13,+208
2rq1rk1/1b5p/p1n1pbpP/1p1p4/3P1P2/PP2BN2/2BQ2P1/R4R1K b - - 8 28,f6e7,19,+95
2kr2b1/p1pq3p/1p2p3/3pP3/2nB4/1N1Q4/PPP3PP/2K2R2 b - - 1 18,h7h5,19,-83
2k1r3/pp1r2qp/3p2p1/2p5/8/2N1NQP1/2KPP1BP/3R1R2 w - - 2 23,g2h3,1,+10905
8/6pp/5p2/5P2/2pk2P1/1pr5/1R1K3P/8 b - - 3 43,c3h3,1,-9275
q2rbrkb/pQp1pp1p/6p1/3B4/n7/6P1/3RPP1P/1NN2RK1 b - - 0 12,a8b7,10,-1242
r2kr3/p2p3p/2q2pp1/2p5/4P3/5P2/bP1Q2PP/2RKRB2 w Kkq - 0 16,d2a5,10,+1282
rkrnnqbb/pppp3p/6p1/4pp2/4P3/3P1BP1/PPP2P1P/RKRNNQB1 b KQkq - 0 4,a7a5,16,-112
6k1/1q3p1p/6pP/8/p3P3/Q5N1/1B3r2/1KR5 b - - 0 33,f7f6,1,+9117
rk1r1b2/pp1qnbpp/5pn1/3pp3/4P3/1P3P2/PQ1P2PP/RKR1BBNN w kq - 2 10,h1f2,13,-265
nrbqknr1/pppp1pbp/6p1/8/4PP2/6P1/PPP4P/NRBQKNRB b KQkq - 0 5,d7d6,19,+76
1k1r2r1/1pp4p/p1bp1q2/4ppp1/8/1NPP2P1/PPKRPQ1P/6R1 w - - 0 24,b3a5,13,-387
1rbkqnrb/ppB1pp1p/1n6/Q2p2p1/3P4/8/PPP1PPPP/NR1K1NRB b KQkq - 0 4,d8c7,10,-680
1r1b1rkq/pbnppppp/1pp1n3/8/1P6/1N2PBP1/PBPP1P1P/1R2KNRQ w KQ - 5 7,g3g4,16,+181
1k1rq1br/ppppb1pp/1n3p2/Q3p3/4PnB1/1N3PN1/PPPP3P/2KR2BR w - - 1 11,h2h4,13,-317
3r1rk1/p1q1ppp1/1p2b2p/8/8/1P2Q2P/P2RPPP1/1B3RK1 b - - 1 18,d8d2,19,-7
n1krrnqb/pbp1p3/1p4pp/6N1/3p1P2/1N6/PPPPQ1PP/1RB2RKB w - - 0 10,g5h3,13,-242
qb1r1rk1/pbpp2pp/1p2pnn1/5pB1/1PPP4/5NN1/P3PPPP/QB1R1RK1 w - - 7 8,d4d5,16,+219
r3nr1q/3bn2p/ppk2p2/2pp2P1/P3p2P/2N1P3/1PPPB1NQ/RK3R2 b Q - 0 19,f6g5,19,+32
2kr2rq/ppb1p3/2pnn3/3p1N2/P2P4/1PP2P1p/4PQ1P/1BBNR2K b - - 0 17,g8g2,10,-887
8/8/1R6/5pp1/P2Kb1k1/1P6/2r5/3q4 w - - 0 44,d4e5,1,-12425
3r2k1/pp4pp/7r/4n2q/2P1P3/PP3PQ1/3p3P/1R1B1R1K w - - 0 31,f3f4,19,-22
r5k1/3q2pp/3b4/6P1/pp1R4/1PpPp3/P1P1P2P/1K1RQ3 b - - 0 31,a4b3,10,-1079
3q1rk1/p4ppp/1p4n1/3b1p2/8/1P3NP1/P3PPP1/1BQR2K1 w - - 0 13,e2e4,10,+580
qr3krn/p2ppppp/1pp5/7P/2PP4/1P2BPbP/P3BP2/Q1KR4 b kq - 1 12,g3h4,1,-1693
nrqk2rn/pppbbppp/4p3/3p4/3P4/1N4N1/PPPQPPPP/2KRBBR1 b kq - 3 5,b7b6,16,+161
r1nkq1br/p1pp1p1p/1p4p1/8/3bP3/2N2P2/PPP3PP/2KRQB1R w kq - 0 9,d1d4,13,+365
3R4/k1p4p/1p3Pb1/1B2N2p/P6P/2B1b1P1/1KP5/1R6 w - - 3 32,b5c6,1,+12404
r1nqkbbr/pp1n2pp/2p2p2/3pp3/P4PPP/3N4/1PPPP3/RN1QKBBR w KQkq - 0 6,h4h5,16,-131
rk1bbqr1/1pp3pp/3p2n1/p3pn2/8/1N3PN1/PPPPB1PP/2KRBQR1 w kq - 0 8,e2c4,16,-122
1qr1brk1/pp1p1ppp/2n1pn2/2p5/8/2P1NP1N/PP1PP1PP/QBR2RK1 b - - 3 7,d7d5,19,-59
8/p1kp2b1/1pp1p3/8/PP4r1/2PN4/2KPR3/8 w - - 1 35,e2h2,19,-68
1knrq2b/1p2pb1p/2p2np1/2Np1p2/3P1P2/1P2P1P1/P1PN1Q1P/1R3RKB b - - 0 12,f6e4,10,+470
1r2knrb/p1pppppp/1p6/8/1n2q3/1P1PN1P1/PBP2P1P/QR2KNR1 b KQkq - 0 7,b4c2,10,-500
rkqb1r2/pp4pp/2b2pn1/2pnp1B1/8/3P1NN1/PPP1BPPP/RKQ2R2 w KQkq - 0 9,g5e3,16,-157
rbNnb2k/pp1r2pp/5p2/4p3/3p1n2/P1NPQ3/BPP2PPP/R3BRK1 w - - 0 13,e3e4,2,+1546
br1k3r/p2p1ppp/1p3n2/2p1N3/1PBpP1q1/P2P4/2P1QPPP/2RK3R b KQk - 1 14,g4g2,19,-23
b1rnqk1n/pp1ppBp1/8/2p5/2P5/8/PP1PPPP1/B1RNQKbN b Qq - 0 4,e8f7,16,+151
nbrnqkbr/p1p1p1pp/1p3p2/8/4p3/1NP2P2/PP1P2PP/1BRNQKBR w KQkq - 0 5,b1e4,19,+23
r3r1b1/p1k4p/1p4p1/2np4/4pP2/2N3P1/P1P3BP/2KRR1B1 w - - 0 17,c3d5,1,+5638
nr1k2r1/pbpqp1bp/1p3pp1/8/4pP2/1PP1P1P1/PBBP3P/N1KRQ1R1 w kq - 1 12,d2d3,13,+279
n3rr1k/1p1b3p/4p1p1/1p1p2P1/1P1P4/4R2B/P1P4P/2K3R1 w - - 1 26,g1f1,1,-4438
nbqrkrbn/pp1pp2p/2p3p1/5p2/4PP2/2P3N1/PP1P2PP/NBQRKRB1 b KQkq - 0 4,f5e4,19,-60
2kr2rq/pp3p2/1npb1n2/3bpPPp/3p3P/1N1P4/PPP1N1B1/2BR1RKQ w - - 1 15,e2g3,16,+155
qrk1rn1b/5b1p/1pn5/p1p1p1p1/P1PpPpP1/1P1P1P1P/1N1B4/QRK1RN1B b KQkq - 0 13,f7e6,13,-102
1rqb1rk1/pppn1bpp/3pppn1/8/2P4P/1N1P2N1/PPB1PPP1/1RQ1K1BR w KQ - 1 9,h4h5,19,-61
bbnrqrk1/pppppppp/6n1/8/4P3/1P6/P1PP1PPP/BBNRQNKR w KQ - 1 3,h2h4,19,+90
2krr1qb/pbpp3p/1pn3p1/4p3/3nPp2/1PNP1P2/PBP2QPP/1K1RRN1B b - - 1 11,c6b4,16,-114
