Position,Move,Depth,Score
1r4k1/3q1bpp/n3p3/1r1pPp2/p2Q1P2/P4P1B/KP2N2P/2R3R1 w - - 4 29,c1c2,40,126
1brk1qbr/pp1pp1pp/2p2n2/5p2/3P3P/1PnN1PP1/P1P1P3/NBRK1QBR w KQkq - 1 7,d1d2,40,372
br5r/4nkpp/5p1q/p1P5/8/2B5/2p4P/1K2Q3 w - - 0 31,b1c2,5,1605
qrbbkn1r/p2p2pp/1p2pn2/5p2/3P4/4PN2/PP1N1PPP/QRBBK2R w KQkq - 2 7,b2b4,60,9
nr1knq2/p1pp4/1p3p2/6p1/8/1N1N2P1/PPP1PB2/2K4Q b - - 0 15,c7c5,40,354
r1n2r1k/1p1bq2p/2pp1bn1/P3ppp1/NPP5/1N1PP3/1B1Q1PPP/1R3RKB b - - 2 17,f5f4,40,135
1nrkrnq1/p2ppp1p/1p4p1/2p5/2P5/1PP1N1P1/P3PP1P/2RKR1Qb w KQkq - 0 7,g1h1,30,420
3r4/pR1P4/Pb3k1p/1Rn2p2/2P5/8/6K1/8 w - - 3 43,b5b6,60,0
5rkr/pqppb1pp/2n1pp2/1p3n2/1P6/P3PBP1/QBPP1P1P/1N3RKR b KQkq - 0 10,a7a5,60,12
rk1br2q/ppppp1p1/1n6/8/4PnPp/1NB5/PPP4P/RK1B1R2 b Qkq - 1 12,e7e5,20,810
5r1k/p3n1pp/1q1b2n1/4pp1N/5N2/2Q2P2/P5PP/B1R4K b - - 7 25,f8c8,30,519
2kr3r/ppp1b1pp/1nn1q3/4p1P1/4P3/1N1P4/PPPBB1Q1/2KR3R w - - 1 18,e2g4,20,604
