Position,Move,Depth,Score
r1bk1br1/pppppp1p/6p1/8/3qP3/2NP1QPP/PP1P1P2/R1B1K1R1 b kq - 2 10,f7f5,50,-46
8/5kp1/R6p/P5p1/4p3/6P1/5PKP/r7 b - - 2 40,g5g4,50,0
brq2rk1/p4ppp/4n1n1/2p5/3p1b2/1PP1N1N1/PB2BPPP/1R1Q1RK1 w - - 0 13,e3f5,40,-157
1brkbrn1/ppp2p1p/1n1q2p1/8/5P2/2P3P1/PP2P2P/NBRKBRNQ w KQkq - 0 7,e1d2,50,0
8/1p2p2p/2p2kp1/1pPp4/8/2P1NP2/r2P2KP/8 w - - 5 24,e3f1,20,-621
1rbk1qnb/ppp4p/1n1p2p1/4p3/2P1P3/1P1P4/PB4PP/NR1KQ1NB b Qq - 0 8,b6d7,50,-44
5R2/1p1p4/1ppkb3/4p3/4P3/2NB2P1/1PK4P/8 w - - 1 32,f8f1,20,676
8/4nk1p/2rQ2p1/8/3P4/pP2P1P1/P1PN3P/1K4N1 w - - 1 30,d6d7,20,1002
r4r1q/pR3Qbp/k1p3p1/8/5P2/2N3P1/PPPP3P/R1BK2N1 w Q - 1 13,f7d7,15,#+10
4rrk1/2p1q1p1/1p2p1np/p2p1p1Q/P2P1P2/1P1NP1PR/2P2KP1/7R b - - 4 21,f8f6,50,35
nrbknqrb/ppp2p1p/4p1p1/3p4/3P4/1N4P1/PPP1PP1P/1RBKNQRB w KQkq - 0 4,e2e4,50,83
2kr2r1/1pp2p1p/2b2bp1/8/p2n4/P2P1PP1/1PPB1K1P/NR3R1B w - - 3 16,f1e1,50,-5
1r1kr3/pppqp2n/2npb2p/1N3p2/5P2/2PPQ1P1/PP5P/1K1RR1BB b k - 0 13,e6f7,30,295
1k1r3r/ppp2qb1/1nnp4/4pp2/6B1/1PN4P/PBPP1P2/1K1R2QR w - - 0 21,g4e2,40,-187
1b5q/1p6/pn4k1/2p5/4NPP1/3Pp3/PPP1K1Q1/6Br w - - 1 32,e4c5,50,0
5rk1/q1r1pppp/1b1pn3/8/1P2P3/P1P2PN1/BBQ3PP/1K5R b - - 2 19,b6d4,40,159
rnkqb2r/pp3pb1/4p1pp/2ppP3/3n1B2/2N2P1N/PPP3PP/2KRQB1R w kq - 0 11,c1b1,40,-183
b1qr1r2/p2p1pk1/3bpp2/2p5/2P1P3/3P2P1/P1Q2P1P/1B1RNRK1 b - - 4 16,f8h8,50,17
3qbknr/pp3ppp/1np5/4b3/8/1N3N2/PP2PPPP/1BQ1BK1R b Kk - 1 8,e5d6,40,166
qrn2rk1/pppbbppp/3p1n2/8/2PNP3/1PB2P2/P5PP/QRNK1B1R b KQ - 2 8,c7c5,40,-101
8/8/1R6/k1pN1p2/3p3p/3P1P2/3KP2r/8 w - - 1 43,b6b1,20,510
bbrnk1qr/p4ppp/1p2n3/2p1p3/3pP3/1PP1NPN1/P2P2PP/BBR1K1QR w KQkq - 0 7,e3d5,50,0
rb3rk1/pnp1q1pp/3p4/1P1Ppb2/1P3P2/2N3P1/P1B4P/2KRBQR1 w - - 0 16,c2f5,20,409
2rkrqbb/ppppp2p/1nn3p1/5p2/3P1P2/1NP3P1/PP2P2P/1NRKRQBB b KQkq - 0 5,a7a5,50,50
2krnq1b/pbprnp1p/1p1pp1p1/8/3PP3/1P1N1P2/PBP3PP/2KRRQNB w - - 7 9,f3f4,50,17
rk1r1bq1/1pp2b2/3p1np1/p3n2p/P2N4/1P4N1/1BP1BPPP/1K1RR1Q1 b kq - 1 14,f8g7,40,114
8/3p4/1k6/6Q1/p4P1P/P6K/4pqb1/8 w - - 0 53,g5g2,19,#-34
q1rnnbkr/p2pppp1/1p6/2p4p/7P/1P4P1/P1PPPP2/BQRNN1KR b KQkq - 0 5,d7d5,50,-63
1rkbr2q/pppp2pp/1n2n3/8/6P1/5P2/1PPP3P/NK1BRNBQ w kq - 0 7,a1b3,30,-212
qrkbbnrn/ppp2ppp/8/3pp3/PP6/8/2PPPPPP/QRKBBNRN w KQkq - 0 3,a1e5,30,211
rkb1n2r/ppp4p/3p1N2/5q1P/3Q4/8/PPP3P1/RKB1R3 b Qq - 0 17,f5f6,30,-407
r1kn2qr/2pp1bpp/p1n2p2/1pbNp3/4P3/P3N1P1/1PPP1PQP/2KRBB1R b kq - 1 8,g8f8,50,-17
2rk2rq/ppn1ppbp/1np3p1/3p4/3P1P2/PPN1P1Pb/2P1B2P/N1KRB1RQ w kq - 3 11,g3g4,50,0
brnbkqnr/p1pp1ppp/4p3/1p6/1P6/5N2/P1PPPPPP/BRNBKQ1R w KQkq - 0 3,a2a3,50,7
1b3kr1/1p2nb2/1Pp2p1q/3pp2p/8/1N3P2/B2PPKp1/1R1NR1Qr w k - 2 24,d1e3,20,-1002
1Q3Q2/2P3R1/8/8/5B2/1K4P1/6k1/8 b - - 0 57,g2f1,7,#+4
rk1rn3/ppp4p/3pq3/6Q1/2P1P1n1/6N1/PP2B1PP/R4RK1 b kq - 0 16,g4f6,20,557
1k6/p1pR4/2p3p1/5p1p/P1p2P2/4r1P1/1PP4P/1K6 w - - 0 23,d7g7,50,0
2krq3/p5rp/8/1p1bp3/3pB2P/P2P4/1PP5/1K1RQ1R1 b - - 1 26,g7c7,40,227
r2krnbn/ppq4p/2p3p1/3p1p2/2PP4/4P1N1/PP3BPP/RBQ2RK1 b kq - 0 9,d5c4,30,232
3rr2b/ppkn1p1p/1np3p1/6P1/3P4/3P1N1P/PPPBN3/R1K2R2 w KQ - 2 19,e2g3,30,228
2kr2r1/pp3np1/1np1q3/3pP2p/3P1R2/2P2NPP/PPB5/2K4Q b - - 1 23,c8b8,20,-418
rk1brq2/1ppp2pp/3n2n1/p3pp2/8/2P1P2P/PPBP1PPB/RK2RQ1N b KQkq - 1 8,a5a4,50,-75
r1qn1kbr/pp2pppp/5n2/2pp4/3P4/2P4P/PP2PPPb/RBQNNK1R w KQkq - 0 5,h1h2,40,-120
2kr4/ppp1p2p/2p3p1/5p2/2b2P2/2P1P1P1/PPP4P/R2K4 w - - 1 14,d1e1,20,-501
b1r1kqrb/pnpp1p1p/1pn1p1p1/8/4PP2/2N1N3/PPPP2PP/B1KR1QRB w kq - 2 6,e4e5,40,195
rk2rq2/2bp2p1/1ppn1pn1/p6p/P2PP3/2PQBN2/1P3NPP/R4RK1 w kq - 0 15,e4e5,30,389
1bq1rrk1/p4pNp/b2p4/2pPn3/2n5/4N3/P3BPPP/B1QR1RK1 b - - 0 17,g8g7,30,341
b1rq1rkb/p4p1p/1p2p1p1/5n2/2NPpP2/1P2P1P1/PB2Q1BP/2R2RK1 b - - 2 15,b6b5,50,-7
bb2rkrq/pp1p1ppp/2nn4/2p1p3/2P1P3/1P1PR3/P4PPP/BBNN1KRQ b Kkq - 2 5,h7h5,50,-79
8/2p1p3/1kP5/3R3p/1Q4r1/4P3/8/2K5 b - - 0 41,g4b4,50,-11
2Q5/5pk1/4p3/3pP2p/3P2p1/4N1P1/5P1P/1q4K1 w - - 0 37,e3f1,20,465
Bk2qrn1/p1ppp2p/1p1n2p1/5p2/8/2b1P1P1/PPPB1P1P/RK2QR2 w KQk - 0 10,d2c3,50,47
