Position,Move,Depth,Score
1rnnkrb1/4q1bp/1pp3p1/p2p1p2/PP6/Q1NNP1P1/2P2P1P/1R2KRBB w KQkq - 1 12,c3e2,30,-224
qrk1rb1n/1p1n3p/2p1b1p1/3ppN2/8/pPQ1P2B/P1PP2PP/1RK1RNB1 w KQkq - 0 15,f5g3,30,-221
rbkqb2r/pp1ppppp/4nn2/2p5/4P3/2P1NN2/PP1P1PPP/RBKQB2R b KQkq - 2 4,d7d5,50,+34
2krrqb1/pp6/1bp2p2/7p/N1ppPp2/P4P1P/1PP1N1P1/1KQRR3 b - - 1 22,b6a5,30,-306
7r/pp1b2k1/3Bp1P1/4P3/4B3/1P6/P1P3P1/7K w - - 3 36,h1g1,50,+1
2krbbr1/pp4pp/1np2pn1/3pp3/2P1P3/1NBP2P1/PP2NP1P/1R1K2QR w KQ - 0 10,e4d5,20,+519
4r1k1/1qb2b1p/6pB/p2p1p2/2nNp3/2P1P2P/PP3PP1/1R1Q1RK1 b - - 0 26,b7b6,30,+350
n2nr1rq/p3k3/1p2p1p1/2p1N1p1/8/1NP5/PP2KPPP/1B1R3Q w - - 0 15,d1d7,20,+467
1bbrnqkr/ppppppp1/1n5p/7P/8/8/PPPPPPP1/NBBRNQKR w KQkq - 0 3,d2d4,50,+64
8/8/1pk5/3p1r1p/PK1B4/1P1R4/8/8 b - - 1 40,f5f4,20,+421
8/p1k5/1p1p2p1/8/P3r3/1PP5/2K5/5R2 b - - 1 31,e4e7,50,0
5r2/pN2k3/6pp/1P2B3/4pP2/4n1PN/K6P/2R4B b - - 0 32,f8b8,20,+2022
nrqbbk1r/ppp2ppp/3p1n2/4p3/4P3/1N3N2/PPPP1PPP/1RQBBK1R w KQkq - 2 4,d2d3,50,-39
q1krr2b/pp1p3p/2p1n3/2Nb4/P3p3/Q1P5/1P1PP2P/1R1KR1BB w KQ - 1 13,h1e4,30,+208
b1rqk1nb/pppp1r1p/2n5/4pp1Q/8/2NP2P1/PPP2P1P/B1KR1RNB b q - 3 7,c6d4,30,223
r2n3r/pp3bk1/2p1p1p1/3p1pP1/3PP3/2P5/PP3KPq/2R2B2 b - - 1 21,h2f4,16,#-15
1nb1qkrb/ppp1pp1p/6p1/3r4/8/8/PPPP1PPP/N1BRQRKB w k - 0 6,d2d4,50,+81
2nr1rk1/p4ppp/1p2p3/2p5/2Pb4/1P5q/P2B2R1/1Q1R1K2 b - - 11 23,h3f3,13,#-9
5Q2/8/8/p2RBkP1/P1N5/1P6/5K2/8 b - - 2 55,f5g4,7,#+4
r2k1nnr/4Q2p/2p5/p4p2/8/3P4/PPPK1PPP/R4NNR b - - 0 14,g8e7,20,+501
r1q3k1/pppp2p1/2nbp1br/8/2B1Q3/2BP3P/PPP2PP1/RN1N1RK1 w - - 1 14,e4e3,30,+421
1r4rb/1q2kp1N/1p1pp1pp/p7/7Q/1P4P1/P1P1PP1P/1R3KR1 b KQ - 1 17,g6g5,30,-226
nrbnqkrb/p1pppp1p/1p4p1/8/4P3/1N6/PPPP1PPP/1RBNQKRB w KQkq - 0 3,d2d3,50,15
r1n2r1k/1p1bq2p/2pp1bn1/P3ppp1/NPP5/1N1PP3/1B1Q1PPP/1R3RKB b - - 2 17,e7f7,40,124
3r1n2/5qkp/2pb4/1p3RB1/3P2QP/1P4P1/P7/4r1K1 w - - 0 28,g1f2,50,+1
r1k1nqbr/ppp1bp2/2np3p/8/3PP1p1/2N1Q3/PPPNB1PP/R1K3BR b KQkq - 1 9,f7f5,50,38
r1knr2q/ppp4p/6p1/3Q1p2/8/P2PP1P1/1PP4P/2KRR1B1 w kq - 0 14,e3e4,30,+382
1bqnrk1r/p2ppppp/1p3n2/2p5/2P3P1/1PQ5/P2PPP1P/BB1NRKNb w Qkq - 0 5,e2e4,20,-558
4k3/5p2/3Qp3/4P3/1K1p1P2/1P4P1/6P1/2q5 b - - 9 46,c1c3,50,0
r4rk1/1p2qppp/1np3n1/p2pP3/3P4/2PN4/PP4PP/RQ1B1RK1 w - - 1 16,d1g4,50,+22
b1rqk1rb/pppn3p/2n1p1p1/3p1p2/3P4/1P2PBP1/P1PB1P1P/1NRQKNR1 b KQkq - 1 7,c6e7,50,-67
1kr1r3/1p2n1p1/1n1pq3/2p1p1B1/p3P2b/N1PP1R2/PP4Q1/1KNR4 b - - 0 22,h4g5,50,-8
8/3k2pp/3p1p2/P2K4/5b2/7P/8/8 w - - 0 44,a5a6,20,-738
qnrnkrbb/p1pppppp/1p6/8/4P3/6P1/PPPP1P1P/QNRNKRBB b KQkq - 0 2,f7f5,50,-35
1rk2bqr/ppp2b1p/1nn1p1p1/1NNpP3/P2P4/8/1PP3PP/1R1KBBQR b kq - 0 11,g6g5,50,-28
1r1kbqrb/2p1np1p/4p1p1/p2p4/1p1P1P1B/3N2P1/PPPP1Q1P/1K1R2RB b k - 0 12,h7h5,50,+57
rknqn1br/pp3pbp/2p3p1/3pp3/8/2P2NPP/PP1PPPBB/RKNQ3R b KQkq - 1 6,c8d6,50,-71
2rknrbq/ppbpp2p/1np3p1/8/3PBP2/1NP3P1/PP5P/2RKNRBQ b KQkq - 0 7,a7a5,50,-70
b3qr1k/p3p1b1/1p1n2p1/4NpPp/3PpP1P/1P2P3/r3BR2/B1R1Q1K1 b - - 1 25,a2a3,40,+175
bnn1rqkr/p2pppp1/1p6/2p2P2/4P2p/2N2B1P/PPPPN1P1/B3Q1KR b Kkq - 0 8,e7e6,30,-224
nbrq1krn/pp1bpppp/2pp4/8/2PP4/6P1/PP2PP1P/NBRQBKRN w KQkq - 1 4,b1h7,40,+144
rkbrnbnq/p2ppppp/1pB5/8/8/6P1/PPPPPP1P/RKBRN1NQ b KQkq - 0 3,d7c6,30,-267
