Position,Score,Move
1k6/1p6/5q2/5P1p/pN2K3/2P5/8/8 b - - 3 56,#-28,f6c3
8/4p1kp/2R1Pp2/2P2P2/5KpP/8/8/8 b - - 3 45,#+19,g4g3
4r1k1/1q5p/6p1/pp3p2/5Q1R/1P2PnPK/3r3P/8 w - - 0 36,#-9,f4f3
rb1k2r1/4pp2/2p1n2p/1p2PKp1/p2P3P/2P2P2/5B2/8 b q - 1 27,#-14,a4a3
8/p4p2/5k1p/5prP/8/7K/8/8 w - - 2 41,#-7,h3h2
8/8/8/1k6/3N2P1/5Q1P/P4P2/6K1 b - - 2 51,#+12,b5c4
8/7p/1p4P1/p1p1k3/2n5/8/P7/1K6 b - - 0 53,#-31,h7g6
8/7p/1k6/p2pn1p1/Pp3pP1/1P1qp2P/6K1/5Q2 b - - 3 51,#-7,f4f3
bk3r2/p5pp/Pp1q4/8/1PBn1B1n/6P1/Q4K1P/2R1R3 b - - 4 32,#-12,f8f4
1R6/6Bp/2R3pP/3k1p2/1P6/P2KP3/5PP1/8 w - - 7 34,#+2,b8b6
5rk1/p6p/1p2p1p1/3q1p2/8/1PPp2PK/P2R3P/B7 b - - 3 27,#-11,d5f3
8/5bk1/8/5pb1/4p1p1/6P1/2Rp1P2/r1BK1B2 b - - 1 51,#-3,a1c1
8/3k1p2/1p4p1/p2p2r1/3P1K2/8/8/8 b - - 1 42,#-17,g5f5
4rr2/pk3ppp/1p4n1/4P3/2P5/1P3N2/P3PQPP/2RR2K1 w - - 2 18,#+25,d1d7
5k2/3b3p/8/2pP4/1p1bP3/pP3P2/q1B1KR2/8 w - - 0 48,#-13,e2f1
3r2n1/1kp3qp/Np1p2p1/p2b4/8/1PP1n1PP/P2K4/4R3 w - - 0 27,#-26,a6c7
2kr4/Q7/1p3pP1/2p5/2bn2p1/1PN3P1/P2K2BP/B5q1 b - - 1 31,#-2,d4b3
6k1/8/5K2/5P1p/4P1bP/6P1/8/8 w - - 1 50,#+20,f6e7
8/4n2p/kp2b1p1/3pPp2/5P2/3K2P1/7P/8 b - - 1 34,#-34,e7c6
4Q1Q1/4k3/3p4/4pp1p/3B3K/4PqP1/P6P/8 b - - 1 33,#+1,e7f6
R7/3Q1ppp/3p1k2/1P1np3/B3P3/5PN1/6PP/5RK1 w - - 0 31,#+4,d7d6
4k3/3p4/2q1p1p1/p1P2p2/3P4/2Q1P1N1/P4PRP/2R2K2 w - - 0 22,#+28,d4d5
8/p2k4/1pQ1n1p1/4P3/1P4P1/8/P1P4P/2K3BB b - - 0 28,#+9,d7e7
7k/2bbn2p/1p2N2q/p1p2r2/P1Bpp1Q1/1P6/7P/2R2RK1 b - - 3 29,#-1,h6h2
4rrk1/p3q1p1/4Pp2/1p1p3R/n1pP3Q/2P3PB/PP5P/5RK1 b - - 0 29,#+30,e7e6
1r3r2/p1p1pp1Q/1p1p1kp1/6N1/4R3/1Pq3P1/P1P2P1P/2K4B w - - 4 18,#+3,e4f4
2k5/1p5p/2pp2p1/p4p2/2P1nP2/P5P1/4q2P/6K1 w - - 7 35,#-2,c4c5
1r6/8/5Pk1/pN1p2P1/P2Bp1BP/1PP3K1/8/8 w - - 9 49,#+12,b5d6
q5k1/p1pp1p2/1p4p1/5Pn1/3Qr2q/1P6/P1PPK1P1/1N2R3 w - - 0 21,#-20,e2d3
8/8/p4N2/P2P4/1PK2k2/5pp1/8/5Q2 w - - 2 61,#+12,d5d6
7R/7R/8/1pK5/p7/P1P3p1/2r4p/4Q1k1 b - - 1 73,#+6,g1g2
8/p6p/1pn5/2kP3R/8/1P2K3/P5PP/8 w - - 1 48,#+34,d5c6
8/pP4k1/2p5/K1Pp4/3P4/1r6/3n4/8 b - - 0 61,#-3,d2c4
n4Q2/k2q1p1p/1p2pBp1/p2P4/3P4/5BP1/P3PP1P/2R3K1 b - - 0 23,#+14,d7b7
1r6/4p1k1/3pPbP1/p1pP4/KpP3B1/6B1/r7/3R4 w - - 2 31,#-6,a4b3
6k1/p6p/1p3r2/2p5/8/1P2K1PB/P1P4P/2R1R1Q1 w - - 0 22,#+23,e3e4
b6b/p3kp2/1p6/4pP1P/2P5/3Np3/PKP4P/8 b - - 1 26,#-22,e5e4
5Q2/1p6/5R2/p7/1k3K2/4P2P/8/8 b - - 3 41,#+9,b4a4
8/p1r2ppk/5b1p/6q1/2p5/1P3RP1/P4P2/1K3Q2 b - - 0 42,#-10,g5g6
6k1/p3q1pp/1p3p2/7n/4b3/1P4P1/P6P/1RK5 b - - 3 30,#-12,e7c5
6k1/3p3p/r2b4/5Pp1/6PP/r4P2/4K3/8 w - - 7 48,#-6,e2d2
6k1/R5p1/1p5p/5pr1/3P1N2/1P3K2/P4P2/B2Q4 w - - 2 23,#+11,d1c1
8/1p6/5p2/1p3p2/1Pb5/5k2/3K4/8 w - - 4 50,#-15,d2c3
4r1qr/pQk5/2P1b3/6p1/P1PN1p1p/7P/6P1/2B2RK1 b - - 3 26,#+10,c7d6
8/8/1k2B3/ppp1K3/4P3/4r3/8/8 b - - 0 54,#-52,a5a4
1rk3b1/K2p1p1p/3p2p1/2p1n3/Pp3b2/2q5/P6P/8 b - - 0 32,#-2,e5c6
1rk2nr1/p1qb3p/1p4p1/2pPQ3/2P1B3/4N1P1/P1P1P2P/1R3RK1 w kq - 1 17,#+26,d5d6
6k1/4R2p/p5p1/2PrKp2/2b2P2/2Pq4/5P1P/4Q2B w - - 1 32,#+36,e5f6
8/1p3k2/2pR2Bp/p7/8/8/PP4PK/R1B5 b - - 0 26,#+7,f7f8
8/2r5/3k4/3p2p1/3P2B1/3KP2P/2R5/8 w - - 5 52,#+31,c2c7
7n/p1p4p/k1P4b/1p6/8/1K6/PP1qBPPP/Q5B1 b - - 5 22,#-5,d2e2
7R/p1p1QP1p/6p1/4nk2/2p5/P1P1K3/1r5P/8 b - - 0 45,#+18,e5g4
1k2r3/qpp2P2/1r6/3Q2P1/4p2P/2K5/2PP4/3RR3 b - - 2 26,#-27,a7a3
rnb3r1/p2p3p/3q4/Bppk3B/4N2Q/6P1/PPP3P1/R3K3 w Q - 0 22,#+3,a1d1
3k4/p3r3/5r1p/3K3b/7P/4p3/8/8 w - - 1 58,#-7,d5c4
5qr1/pQ4pk/1p4p1/8/2P3R1/1P3r2/P3Rn1P/6K1 b - - 1 33,#-21,f2g4
8/1pk1p3/4P3/8/4KP2/P1P4p/1P5q/8 w - - 0 42,#-16,e4e3
8/p7/2p1R3/1p1p2B1/1P1kp2P/PN5K/2PP4/8 b - - 1 37,#+1,d4c4
5Bk1/pb2R3/2p4p/2P2B2/5PP1/8/P6P/6K1 b - - 0 30,#+19,g8f8
1k2r3/ppp2Q2/3p4/2n5/q7/2P5/1P1P4/2KR4 b - - 6 33,#-4,c5d3
3r1n2/2k5/1pQ5/p3p2p/6p1/1P2P1P1/P6P/2R2RK1 b - - 0 26,#+5,c7b8
6Q1/8/8/8/2p5/p5k1/P1K2R2/1B4B1 b - - 8 55,#+1,g3h4
